siren;nom;type_activite;type_hebergement;type_restauration;complement_adresse;numeroVoie;typeVoie;libelleVoie;codeCommune;codePostal;Commune;x;y;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode
814202735;PIZZA RAPIDO;restauration;;pizzeria;;4;AV;ERNEST LEOTARD;11049;11150;BRAM;;;43.242297;2.120666;Avenue Ernest Léotard 11150 Bram;0.59;street;11049_XXXX_64ade2;;Avenue Ernest Léotard;;11150;Bram;11, Aude, Occitanie (Languedoc-Roussillon);11049
814902920;MYLOVEBURGER;restauration;;restauration ambulante;;11;RES;DES MOULINS;11281;11150;PEXIORA;;;43.271016;2.034102;Résidence des Moulins 11150 Pexiora;0.56;street;11281_XXXX_985394;;Résidence des Moulins;;11150;Pexiora;11, Aude, Occitanie (Languedoc-Roussillon);11281
818081358;LA FLIBUSTE;restauration;;créperie;;23;PL;CARNOT;11049;11150;BRAM;;;43.243713;2.115285;Place Carnot 11150 Bram;0.52;street;11049_XXXX_a847ac;;Place Carnot;;11150;Bram;11, Aude, Occitanie (Languedoc-Roussillon);11049
818090995;HOTEL LA PRADE OUEST;hebergement;hotel;;;;;CHATEAU DE LA PRADE;11049;11150;BRAM;;;43.261819;2.113407;La Prade 11150 Bram;0.43;street;11049_B083_6a2be3;;La Prade;;11150;Bram;11, Aude, Occitanie (Languedoc-Roussillon);11049
818639221;DOMAINE SALADRY;hebergement;gites;;;;;A SALADRI;11434;11150;VILLEPINTE;;;43.269887;2.083253;A Saladri 11150 Villepinte;0.68;street;11434_B096_be7874;;A Saladri;;11150;Villepinte;11, Aude, Occitanie (Languedoc-Roussillon);11434
820810554;DOMAINE LA FORCATE;hebergement;chambre_hote;;;;DOM;DE LA FORCATE;11438;11150;VILLESISCLE;;;43.229871;2.081808;La Forcate 11150 Villesiscle;0.58;street;11438_B011_e7302b;;La Forcate;;11150;Villesiscle;11, Aude, Occitanie (Languedoc-Roussillon);11438
823149976;CUISINE D'ICI ET LA;restauration;;restaurant;;2;IMP;DE LA MALEPERE;11049;11150;BRAM;;;43.242157;2.092537;Impasse de la Malepère 11150 Bram;0.59;street;11049_XXXX_f6c9e1;;Impasse de la Malepère;;11150;Bram;11, Aude, Occitanie (Languedoc-Roussillon);11049
829222157;PIZZERIA ENTRE-NOUS;restauration;;pizzeria;;41;;BOULEVARD GAMBETTA;11434;11150;VILLEPINTE;;;43.281004;2.088937;Boulevard Gambetta 11150 Villepinte;0.73;street;11434_XXXX_f838a8;;Boulevard Gambetta;;11150;Villepinte;11, Aude, Occitanie (Languedoc-Roussillon);11434
831314992;LA CAMPANETTE;hebergement;gites;;;;DOM;LA CAMPANETTE;11254;11290;MONTREAL;;;43.200954;2.171067;La Campanete 11290 Montréal;0.6;street;11254_B025_c93bcf;;La Campanete;;11290;Montréal;11, Aude, Occitanie (Languedoc-Roussillon);11254
835055153;CAMELLAS-LLORET;hebergement;chambre_hote;;;5;RUE;DE L'ANGLE;11254;11290;MONTREAL;;;43.199184;2.141141;Rue de l'Angle 11290 Montréal;0.71;street;11254_XXXX_cf523a;;Rue de l'Angle;;11290;Montréal;11, Aude, Occitanie (Languedoc-Roussillon);11254
